MaMH,Tên MH (Tiếng Việt),Tên MH (Tiếng Anh),Còn mở lớp,Đơn vị quản lý chuyên môn,Loại MH,Mã cũ,Mã môn học tương đương,Mã môn học tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
ACCT3603,Hệ thống thông tin kế toán,Accounting Information systems,True,HTTT,CN,,,,,3.0,0.0
ACCT5123,Hoạch định nguồn lực doanh nghiệp,Enterprise Resource Planning,True,HTTT,CSN,,,,,3.0,0.0
ADENG1,Tiếng Anh tăng cường 1,Intensive English 1,True,HTTT,ĐC,ENG11,ENG04,,,0.0,0.0
ADENG2,Tiếng Anh tăng cường 2,Intensive English 2,True,HTTT,ĐC,ENG12,,,,0.0,0.0
ADENG3,Tiếng Anh tăng cường 3,Intensive English 3,True,HTTT,ĐC,,ENG05,ADENG2,,0.0,0.0
ADENG4,Tiếng Anh tăng cường 4,Intensive English 4,True,HTTT,ĐC,,ENG03,ADENG3,,0.0,0.0
AI001,Giới thiệu ngành Trí tuệ nhân tạo,Introduction to AI programs,True,KHMT,ĐC,,"CS005
IE005
IS005
SE005
CE005
NT005
NT015
EC005
DS005",,,1.0,0.0
BOQC1,Nhập môn máy tính lượng tử,Basic of Quantum Computer,True,BMTL,BT,,,,,0.0,0.0
BUS1125,Khởi nghiệp kinh doanh,Entrepreneurship,True,PĐTĐH,CN,,,,,2.0,1.0
CARC1,Kiến trúc máy tính,Computer Architecture,False,KTMT,ĐC,,IT006,,,3.0,0.0
CE005,Giới thiệu ngành Kỹ Thuật Máy tính,Introduction to Computer Engineering,True,KTMT,ĐC,,"CS005
IE005
IS005
SE005
NT005
NT015
EC005
DS005
AI001",,,1.0,0.0
CE101,Lý thuyết mạch điện,Theory of electrical circuits,False,KTMT,CSN,,CE121,,,4.0,0.0
CE102,Hệ thống số,Digital systems,False,KTMT,CN,,PH002,,,3.0,1.0
CE103,Vi xử lý-vi điều khiển,Microprocessors and microcontrollers,True,KTMT,CSN,,,,IT006,3.0,1.0
CE104,Các thiết bị và mạch điện tử,Electronic devices and circuits,False,KTMT,CSN,,CE124,,"PH001
CE101",3.0,0.0
CE105,Xử lý tín hiệu số,Digital signal processing,True,KTMT,CSN,CE205,CE205,,"MA001
MA002
MA003",3.0,1.0
CE106,Thiết kế vi mạch với HDL,Digital Circuit Design with HDL,False,KTMT,CN,,CE221,,,3.0,1.0
CE107,Hệ thống nhúng,Embedded systems,False,KTMT,CSN,,CE224,,"IT001
IT006
CE103",3.0,1.0
CE108,Hệ điều hành nâng cao,Advanced operating systems,False,KTMT,CN,,,,,3.0,0.0
CE109,Lập trình nhúng căn bản,Introduction to embedded-system programming,False,KTMT,CN,,CE211,,,2.0,1.0
CE110,Lập trình hệ thống với Java,System Programming with Java,False,KTMT,CN,,CE315,,,3.0,1.0
CE111,Kiến trúc máy tính nâng cao,Advanced computer architecture,False,KTMT,CĐTN,,,,IT006,2.0,1.0
CE112,Đồ án môn học thiết kế mạch,Circuit design project,False,KTMT,ĐA,,CE201,,,0.0,2.0
CE113,Điều khiển tự động,Automatic Control,False,KTMT,CN,,CE212,,,3.0,0.0
CE114,Lập trình trên thiết bị di động,Mobile device application development,False,KTMT,CN,,NT118,,,2.0,1.0
CE115,Thiết kế mạng,Network design,False,KTMT,CN,,NT113,,,3.0,1.0
CE116,Đồ án môn học ngành KTMT,Information engineering project,False,KTMT,ĐA,,CE206,,,0.0,2.0
CE117,Thực hành điện- điện tử,Basic electrical and electronic laboratory,False,KTMT,CSN,,CE124,,"PH001
CE101",0.0,1.0
CE118,Thiết kế luận lý số,Digital logic design,True,KTMT,CSN,,,,PH002,3.0,1.0
CE119,Thực hành Kiến trúc máy tính,Computer architecture laboratory,True,KTMT,CSN,,,,PH002,0.0,1.0
CE121,Lý thuyết mạch điện,Theory of electrical circuits,True,KTMT,CSN,,CE101,,,3.0,1.0
CE124,Các thiết bị và mạch điện tử,Electronic devices and circuits,True,KTMT,CSN,,CE104,,CE121,3.0,1.0
CE201,Đồ án 1,Project 1,True,KTMT,ĐA,,,,"PH002
CE103
CE121
CE224",0.0,2.0
