,MaMH,Tổng số lượng,Loại MH
0,IT002,15906,CSNN
1,MA003,15751,ĐC
2,IT001,15600,ĐC
3,IT003,14582,CSNN
4,IT004,13155,CSNN
5,MA005,13128,ĐC
6,MA004,12881,ĐC
7,IT005,12101,CSNN
8,SS004,11565,ĐC
9,IT007,10764,CSNN
10,SS003,10309,ĐC
11,MA006,9947,ĐC
12,ENG02,9860,ĐC
13,ENG01,9708,ĐC
14,ENG03,9625,ĐC
15,PE001,9413,TC
16,IT006,9352,CSNN
17,PH002,9331,ĐC
18,PE002,9239,TC
19,IT009,8803,CSNN
20,SS006,8524,ĐC
21,PH001,8022,ĐC
22,SS001,6690,ĐC
23,MA001,6609,ĐC
24,MA002,6493,ĐC
25,SE104,5640,CSN
26,SS002,5412,ĐC
27,SS007,5229,ĐC
28,SS008,4841,ĐC
29,SS010,4837,ĐC
30,ENG04,4655,ĐC
31,SS009,4358,ĐC
32,SE102,4276,CSN
33,LIA01,4184,ĐC
34,DSAL1,4158,ĐC
35,CARC1,3958,ĐC
36,MAT04,3922,ĐC
37,MAT02,3903,ĐC
38,HCMT1,3877,ĐC
39,VCPL1,3827,ĐC
40,OOPT1,3772,ĐC
41,MAT01,3762,ĐC
42,PHY01,3744,ĐC
43,CSC01,3697,CN
44,OSYS1,3652,ĐC
45,DBSS1,3562,ĐC
46,WINP1,3424,ĐC
47,CNET1,3356,ĐC
48,EN004,3336,ĐC
49,NT106,3306,CSN
50,PEDU1,3298,TC
51,EN001,3293,ĐC
52,PHY02,3244,ĐC
53,PEDU2,3182,TC
54,IS208,3179,CSN
55,EN002,3113,ĐC
56,IS207,3057,CN
57,NT101,2925,CSN
58,IS201,2914,CSN
59,EN003,2825,ĐC
60,NT118,2712,CSN
61,PHIL1,2665,ĐC
62,PE012,2650,TC
63,ITEM1,2637,ĐC
64,EN005,2585,ĐC
65,ITEW1,2558,ĐC
66,IT008,2545,CN
67,SE101,2412,CSN
68,SMET2,2337,ĐC
69,IT012,2297,CSNN
70,SE106,2285,CSN
71,STA01,2140,ĐC
72,SE501,2101,TTTN
73,CS106,2061,CSN
74,SE114,1991,CSN
75,NT105,1911,CSN
76,NT113,1909,CSN
77,SE100,1908,CSN
78,IS336,1893,CSN
79,CS112,1887,CSN
80,CE103,1816,CSN
81,IS334,1814,CN
82,NT114,1760,ĐA
83,SE330,1704,CSN
84,NT132,1668,CSN
85,IE106,1666,CSN
86,IS210,1664,CSN
87,CE119,1626,CSN
88,NT104,1620,CSN
89,SE214,1596,CN
90,NT109,1582,CSN
91,IS211,1557,CN
92,CS111,1543,CSN
93,IS353,1543,CĐTN
94,ENBT,1542,BT
95,IS252,1539,CN
96,ENG05,1535,ĐC
97,IS216,1508,CSN
98,PH003,1507,ĐC
99,NT111,1396,CNTC
100,CE101,1384,CSN
101,CE105,1376,CSN
102,CS221,1374,CN
103,EN006,1363,ĐC
104,IS217,1363,CN
105,CE118,1357,CSN
106,CS105,1347,CSN
107,CS231,1327,CN
108,SE215,1316,CN
109,IE101,1316,CSN
110,IE104,1313,CSN
111,IT010,1305,CSN
112,MAT22,1303,ĐC
113,IS105,1300,CN
114,MAT23,1287,ĐC
115,NT131,1272,CSN
116,SE310,1263,CNTC
117,SE346,1234,CN
118,NT209,1210,CSN
119,IE105,1204,CSN
120,SE109,1193,CSN
121,NT201,1163,CNTC
122,IS403,1160,CN
123,CE501,1154,TTTN
124,NT103,1143,CNTC
125,IE103,1131,CSN
126,CE104,1127,CSN
127,NT334,1125,CN
128,CE107,1118,CSN
129,NT204,1085,CN
130,NT330,1064,CN
131,SE401,1042,CĐTN
132,SE505,1015,KLTN
133,IS254,1013,CN
134,SE112,1009,CSN
135,IS402,992,CĐTN
136,SE405,980,CĐTN
137,NT505,969,KLTN
138,CSC21,966,CN
139,CS110,966,CSN
140,SE325,962,CNTC
141,SE108,961,CSN
142,SE400,949,CĐTN
143,MAT21,948,ĐC
144,IS405,943,CĐTN
145,CE201,928,ĐA
146,CE121,905,CSN
147,ENGA2,892,BT
148,SE331,892,CNTC
149,NT303,891,CN
150,CE206,882,ĐA
151,IE005,880,ĐC
152,NT115,880,TTTN
153,NT405,863,CĐTN
154,SE111,855,CSN
155,NT208,855,CNTC
156,PHIL2,815,ĐC
157,CE117,814,CSN
158,CS115,813,CN
159,NT112,810,CN
160,CS005,805,ĐC
161,EC001,801,CSN
162,NT207,801,CN
163,CS114,801,CN
164,SE211,791,CN
165,IS232,775,CN
166,SE103,775,CN
167,NT110,770,CN
168,CE505,765,KLTN
169,CS519,765,CNTC
170,NT402,762,CN
171,CS232,760,CN
172,NT501,757,TTTN
173,IE204,744,CĐTN
174,NT107,740,CN
175,CS511,735,CNTC
176,IS335,732,CN
177,SE207,731,CN
178,SE105,728,CN
179,IS005,712,ĐC
180,SE311,711,CN
181,SE005,708,ĐC
182,NT108,704,CN
183,SE418,704,ĐA
184,MLPE1,704,ĐC
185,SE121,703,CSN
186,IS220,702,CN
